79,367,288,448,160,208,48,176,128,656,528,688,160,1872,1712,1840,128,464,336,816,480,352,-128,0,128,416,288,416,128,240,112,272,160,352,192,336,144,208,64,192,128,1616,1488,1584,96,613.7272727,448,615.2727273,159.9166667,6847,1.63373E+12
80,352,272,400,128,224,96,208,112,256,144,272,128,1440,1312,1408,96,432,336,864,528,400,-128,0,128,416,288,432,144,288,144,320,176,192,16,160,144,224,80,176,96,1136,1040,1136,96,487.2727273,327.2727273,488.7272727,154.6666667,5456,1.63373E+12
128,896,768,864,96,144,48,160,112,272,160,256,96,1360,1264,1360,96,1333,1237,1376,139,11,-128,1,129,304,175,383,208,224,16,160,144,145,1,176,175,176,1,112,111,847,736,800,64,519.2727273,388.9090909,513.4545455,124.8333333,5776,1.63373E+12
112,560,448,576,128,160,32,160,128,240,112,240,128,560,432,896,464,336,-128,32,160,352,192,432,240,192,-48,128,176,208,32,192,160,240,80,208,128,5888,5760,5856,96,464,368,432,64,836.3636364,661.8181818,832,165.3333333,9264,1.63373E+12
96,336,240,352,112,208,96,240,144,240,96,224,128,1392,1264,1376,112,400,288,768,480,384,-96,32,128,320,192,400,208,176,-32,144,176,224,48,256,208,272,64,176,112,896,784,928,144,440.7272727,267.6363636,445.0909091,170.6666667,4992,1.63373E+12
128,432,304,400,96,144,48,192,144,192,48,176,128,1632,1504,1648,144,448,304,624,320,192,-128,33,161,320,159,384,225,176,-49,95,144,169,25,165,140,119,-21,91,112,832,720,816,96,423.2727273,264.9090909,420.3636364,153.1666667,4752,1.63373E+12
128,400,272,400,128,161,33,176,143,207,64,208,144,1024,880,1024,144,352,208,449,241,208,-33,127,160,224,64,272,208,274,66,208,142,3502,3360,3952,592,1216,624,736,112,528,416,528,112,736,541.2727273,734.5454545,187.8333333,8208,1.63373E+12
128,304,176,336,160,352,192,352,160,368,208,336,128,1392,1264,1360,96,1380,1284,1440,156,18,-138,36,174,522,348,476,128,320,192,336,144,178,34,192,158,223,65,176,111,415,304,464,160,497.4545455,357.1818182,500.3636364,141.9166667,5632,1.63373E+12
128,352,224,336,112,176,64,208,144,288,144,288,144,832,688,816,128,624,496,1040,544,368,-176,15,191,448,257,385,128,256,128,288,160,304,144,320,176,226,50,240,190,574,384,592,208,404.3636364,218.4545455,411.6363636,187.75,4656,1.63373E+12
176,320,144,256,112,288,176,351,175,271,96,256,160,1232,1072,1184,112,304,192,608,416,272,-144,39,183,400,217,377,160,1168,1008,1104,96,133,37,192,155,205,50,144,94,318,224,384,160,446.4545455,279.2727273,445,166.5833333,5071,1.63373E+12
96,176,80,224,144,336,192,352,160,205,45,128,83,403,320,433,113,336,223,511,288,208,-80,25,105,208,103,248,145,188,43,159,116,154,38,128,90,108,18,96,78,286,208,320,112,237.0909091,108.1818182,238.5454545,127.5,2720,1.63373E+12
